,brand,model,vehicle_age,km_driven,fuel_type,transmission_type,mileage,engine,max_power,seats,Owner_type,selling_price
0,Maruti,Alto,9,120000,Petrol,Manual,19.7,796,46.3,5,3,120000
1,Hyundai,Grand,5,20000,Petrol,Manual,18.9,1197,82.0,5,2,550000
2,Hyundai,i20,11,60000,Petrol,Manual,17.0,1197,80.0,5,1,215000
3,Maruti,Alto,9,37000,Petrol,Manual,20.92,998,67.1,5,3,226000
4,Ford,Ecosport,6,30000,Diesel,Manual,22.77,1498,98.59,5,2,570000
5,Maruti,Wagon R,8,35000,Petrol,Manual,18.9,998,67.1,5,2,350000
6,Hyundai,i10,8,40000,Petrol,Manual,20.36,1197,78.9,5,2,315000
7,Maruti,Wagon R,3,17512,Petrol,Manual,20.51,998,67.04,5,2,410000
8,Hyundai,Venue,2,20000,Petrol,Automatic,18.15,998,118.35,5,1,1050000
9,Maruti,Swift,4,28321,Petrol,Manual,16.6,1197,85.0,5,1,511000
10,Hyundai,Verna,8,65278,Diesel,Manual,22.32,1582,126.32,5,1,425000
11,Renault,Duster,5,50000,Diesel,Manual,19.64,1461,108.45,5,2,750000
13,Maruti,Ciaz,5,76000,Diesel,Manual,28.09,1248,88.5,5,1,650000
14,Maruti,Swift,5,20000,Diesel,Manual,25.2,1248,74.0,5,1,627000
15,Mercedes-Benz,C-Class,7,65000,Diesel,Automatic,19.27,2143,170.0,5,1,1425000
16,Maruti,Swift,7,62200,Diesel,Manual,28.4,1248,74.0,5,2,425000
18,Maruti,Baleno,6,20000,Petrol,Manual,21.4,1197,83.1,5,2,600000
19,Maruti,Swift Dzire,5,40000,Petrol,Manual,20.85,1197,83.14,5,2,575000
20,Volkswagen,Vento,8,47000,Petrol,Manual,16.09,1598,103.2,5,1,425000
21,Maruti,Alto,8,25000,Petrol,Manual,20.92,998,67.1,5,2,230000
22,Hyundai,Creta,2,15000,Diesel,Manual,19.67,1582,126.2,5,2,1225000
23,Honda,City,6,50000,Petrol,Manual,17.4,1497,117.3,5,1,750000
25,Maruti,Swift Dzire,6,90000,Diesel,Manual,26.59,1248,74.0,5,2,600000
26,Maruti,Swift Dzire,8,45000,Diesel,Manual,26.59,1248,74.0,5,2,390000
27,Honda,City,14,77253,Petrol,Manual,17.7,1497,78.0,5,2,145000
28,Hyundai,i20,3,25000,Petrol,Manual,17.19,1197,81.86,5,3,700000
30,Renault,KWID,4,30000,Petrol,Manual,23.01,999,67.0,5,2,340000
31,Honda,Amaze,5,39993,Petrol,Manual,18.6,1199,88.76,5,1,465000
32,Hyundai,Santro,12,80000,Petrol,Manual,17.92,1086,62.1,5,1,125000
34,Maruti,Swift Dzire,8,90000,Diesel,Manual,23.4,1248,74.0,5,2,380000
35,Hyundai,i20,3,15000,Diesel,Manual,22.54,1396,88.73,5,2,850000
36,Hyundai,i20,3,40000,Petrol,Manual,18.6,1197,81.83,5,1,598000
37,Honda,City,6,31180,Petrol,Automatic,18.0,1497,117.3,5,1,700000
38,Maruti,Swift Dzire,7,56000,Diesel,Manual,23.4,1248,74.0,5,2,410000
39,Maruti,Baleno,5,52427,Petrol,Automatic,21.4,1197,83.1,5,2,590000
